"Route 340 Inbound Weekday S 1892981548-1 05:43","0","Drumlins","Meadowbrook & Lancaster","http://maps.google.com/maps?f=d&source=s_d&saddr=43.020828,-76.105612&daddr=43.0348571,-76.113157+to:43.033982,-76.1149201+to:43.029906,-76.1183394+to:43.024771,-76.121804&geocode=FRxykAIddLh2-w%3BFemokAId-5p2-ykZ1fGXa_PZiTF-NOGwJl-n-w%3BFX6lkAIdGJR2-ykNFZEGbPPZiTHGsiMGhMBoHw%3BFZKVkAIdvYZ2-ym54byIb_PZiTEY2zRmkr5EdA%3BFYOBkAIdNHl2-w&hl=en&mra=dpe&mrsp=2&sz=15&via=1,2,3&sll=43.030157,-76.118045&sspn=0.011701,0.020084&ie=UTF8&ll=43.029404,-76.116586&spn=0.011701,0.020084&t=h&z=15"
"Route 340 Inbound Saturday S 1580760219-28 12:25","2","Bird Library","Upstate Univerity Hospital","http://maps.google.com/maps?f=d&source=s_d&saddr=43.039376,-76.132573&daddr=43.040113,-76.1365814+to:43.0405286,-76.1372059+to:43.044246,-76.139172&hl=en&geocode=FZC6kAIdI092-w%3BFXG9kAIdez92-ylxLJdDn_PZiTEiJcliIwmAxw%3BFRC_kAIdCz12-ynzrC1Rn_PZiTFIvfFTlBvZcQ%3BFZbNkAIdXDV2-w&mra=dpe&mrsp=2&sz=16&via=1,2&sll=43.041805,-76.13588&sspn=0.005865,0.010042&ie=UTF8&t=h&z=16"
"Route 340 Inbound Saturday S 1580760219-28 12:25","3","Upstate Univerity Hospital","Civi Center","http://maps.google.com/maps?f=d&source=s_d&saddr=43.044246,-76.139172&daddr=43.045485,-76.147508"
"Route 340 Inbound Saturday S 1580760219-28 12:25","4","Civi Center","Downtown Fayette & Salina Strs","http://maps.google.com/maps?f=d&source=s_d&saddr=43.045485,-76.147508&daddr=43.0486263,-76.147915+to:E+Fayette+St&hl=en&geocode=FW3SkAIdzBR2-w%3BFbLekAIdNRN2-ylTujm4u_PZiTEIKarA7Z-_9A%3BFejekAIdWgJ2-w&mra=dme&mrsp=2&sz=19&via=1&sll=43.048661,-76.152018&sspn=0.000733,0.001255&ie=UTF8&t=h&ll=43.046687,-76.146541&spn=0.011698,0.020084&z=15"
"Route 340 Inbound Saturday S 1580760219-29 13:35","0","Drumlins","Meadowbrook & Lancaster","http://maps.google.com/maps?f=d&source=s_d&saddr=43.020828,-76.105612&daddr=43.0348571,-76.113157+to:43.033982,-76.1149201+to:43.029906,-76.1183394+to:43.024771,-76.121804&geocode=FRxykAIddLh2-w%3BFemokAId-5p2-ykZ1fGXa_PZiTF-NOGwJl-n-w%3BFX6lkAIdGJR2-ykNFZEGbPPZiTHGsiMGhMBoHw%3BFZKVkAIdvYZ2-ym54byIb_PZiTEY2zRmkr5EdA%3BFYOBkAIdNHl2-w&hl=en&mra=dpe&mrsp=2&sz=15&via=1,2,3&sll=43.030157,-76.118045&sspn=0.011701,0.020084&ie=UTF8&ll=43.029404,-76.116586&spn=0.011701,0.020084&t=h&z=15"
"Route 340 Inbound Saturday S 1580760219-29 13:35","1","Meadowbrook & Lancaster","Bird Library","http://maps.google.com/maps?f=d&source=s_d&saddr=43.024771,-76.121804&daddr=43.03647,-76.12565+to:43.03628,-76.1298+to:43.039376,-76.132573&hl=en&geocode=FYOBkAIdNHl2-w%3BFTavkAIdLmp2-ym9RnWZc_PZiTGICaeZvayQBA%3BFXiukAId-Fl2-ymZI4u1dfPZiTGKHCl7mIBqjA%3BFZC6kAIdI092-w&mra=dpe&mrsp=2&sz=15&via=1,2&sll=43.035709,-76.128988&sspn=0.011732,0.020084&ie=UTF8&t=h&z=15"
"Route 340 Inbound Saturday S 1580760219-29 13:35","2","Bird Library","Upstate Univerity Hospital","http://maps.google.com/maps?f=d&source=s_d&saddr=43.039376,-76.132573&daddr=43.040113,-76.1365814+to:43.0405286,-76.1372059+to:43.044246,-76.139172&hl=en&geocode=FZC6kAIdI092-w%3BFXG9kAIdez92-ylxLJdDn_PZiTEiJcliIwmAxw%3BFRC_kAIdCz12-ynzrC1Rn_PZiTFIvfFTlBvZcQ%3BFZbNkAIdXDV2-w&mra=dpe&mrsp=2&sz=16&via=1,2&sll=43.041805,-76.13588&sspn=0.005865,0.010042&ie=UTF8&t=h&z=16"
"Route 340 Inbound Saturday S 1580760219-29 13:35","3","Upstate Univerity Hospital","Civi Center","http://maps.google.com/maps?f=d&source=s_d&saddr=43.044246,-76.139172&daddr=43.045485,-76.147508"
"Route 340 Inbound Saturday S 1580760219-29 13:35","4","Civi Center","Downtown Fayette & Salina Strs","http://maps.google.com/maps?f=d&source=s_d&saddr=43.045485,-76.147508&daddr=43.0486263,-76.147915+to:E+Fayette+St&hl=en&geocode=FW3SkAIdzBR2-w%3BFbLekAIdNRN2-ylTujm4u_PZiTEIKarA7Z-_9A%3BFejekAIdWgJ2-w&mra=dme&mrsp=2&sz=19&via=1&sll=43.048661,-76.152018&sspn=0.000733,0.001255&ie=UTF8&t=h&ll=43.046687,-76.146541&spn=0.011698,0.020084&z=15"
"Route 340 Inbound Saturday S 1580760219-30 15:55","0","Drumlins","Meadowbrook & Lancaster","http://maps.google.com/maps?f=d&source=s_d&saddr=43.020828,-76.105612&daddr=43.0348571,-76.113157+to:43.033982,-76.1149201+to:43.029906,-76.1183394+to:43.024771,-76.121804&geocode=FRxykAIddLh2-w%3BFemokAId-5p2-ykZ1fGXa_PZiTF-NOGwJl-n-w%3BFX6lkAIdGJR2-ykNFZEGbPPZiTHGsiMGhMBoHw%3BFZKVkAIdvYZ2-ym54byIb_PZiTEY2zRmkr5EdA%3BFYOBkAIdNHl2-w&hl=en&mra=dpe&mrsp=2&sz=15&via=1,2,3&sll=43.030157,-76.118045&sspn=0.011701,0.020084&ie=UTF8&ll=43.029404,-76.116586&spn=0.011701,0.020084&t=h&z=15"
"Route 340 Inbound Saturday S 1580760219-30 15:55","1","Meadowbrook & Lancaster","Bird Library","http://maps.google.com/maps?f=d&source=s_d&saddr=43.024771,-76.121804&daddr=43.03647,-76.12565+to:43.03628,-76.1298+to:43.039376,-76.132573&hl=en&geocode=FYOBkAIdNHl2-w%3BFTavkAIdLmp2-ym9RnWZc_PZiTGICaeZvayQBA%3BFXiukAId-Fl2-ymZI4u1dfPZiTGKHCl7mIBqjA%3BFZC6kAIdI092-w&mra=dpe&mrsp=2&sz=15&via=1,2&sll=43.035709,-76.128988&sspn=0.011732,0.020084&ie=UTF8&t=h&z=15"
"Route 340 Inbound Saturday S 1580760219-30 15:55","2","Bird Library","Upstate Univerity Hospital","http://maps.google.com/maps?f=d&source=s_d&saddr=43.039376,-76.132573&daddr=43.040113,-76.1365814+to:43.0405286,-76.1372059+to:43.044246,-76.139172&hl=en&geocode=FZC6kAIdI092-w%3BFXG9kAIdez92-ylxLJdDn_PZiTEiJcliIwmAxw%3BFRC_kAIdCz12-ynzrC1Rn_PZiTFIvfFTlBvZcQ%3BFZbNkAIdXDV2-w&mra=dpe&mrsp=2&sz=16&via=1,2&sll=43.041805,-76.13588&sspn=0.005865,0.010042&ie=UTF8&t=h&z=16"
"Route 340 Inbound Saturday S 1580760219-30 15:55","3","Upstate Univerity Hospital","Civi Center","http://maps.google.com/maps?f=d&source=s_d&saddr=43.044246,-76.139172&daddr=43.045485,-76.147508"
"Route 340 Inbound Saturday S 1580760219-30 15:55","4","Civi Center","Downtown Fayette & Salina Strs","http://maps.google.com/maps?f=d&source=s_d&saddr=43.045485,-76.147508&daddr=43.0486263,-76.147915+to:E+Fayette+St&hl=en&geocode=FW3SkAIdzBR2-w%3BFbLekAIdNRN2-ylTujm4u_PZiTEIKarA7Z-_9A%3BFejekAIdWgJ2-w&mra=dme&mrsp=2&sz=19&via=1&sll=43.048661,-76.152018&sspn=0.000733,0.001255&ie=UTF8&t=h&ll=43.046687,-76.146541&spn=0.011698,0.020084&z=15"
"Route 340 Inbound Saturday S 1580760219-31 17:35","0","Drumlins","Meadowbrook & Lancaster","http://maps.google.com/maps?f=d&source=s_d&saddr=43.020828,-76.105612&daddr=43.0348571,-76.113157+to:43.033982,-76.1149201+to:43.029906,-76.1183394+to:43.024771,-76.121804&geocode=FRxykAIddLh2-w%3BFemokAId-5p2-ykZ1fGXa_PZiTF-NOGwJl-n-w%3BFX6lkAIdGJR2-ykNFZEGbPPZiTHGsiMGhMBoHw%3BFZKVkAIdvYZ2-ym54byIb_PZiTEY2zRmkr5EdA%3BFYOBkAIdNHl2-w&hl=en&mra=dpe&mrsp=2&sz=15&via=1,2,3&sll=43.030157,-76.118045&sspn=0.011701,0.020084&ie=UTF8&ll=43.029404,-76.116586&spn=0.011701,0.020084&t=h&z=15"
"Route 340 Inbound Saturday S 1580760219-31 17:35","1","Meadowbrook & Lancaster","Bird Library","http://maps.google.com/maps?f=d&source=s_d&saddr=43.024771,-76.121804&daddr=43.03647,-76.12565+to:43.03628,-76.1298+to:43.039376,-76.132573&hl=en&geocode=FYOBkAIdNHl2-w%3BFTavkAIdLmp2-ym9RnWZc_PZiTGICaeZvayQBA%3BFXiukAId-Fl2-ymZI4u1dfPZiTGKHCl7mIBqjA%3BFZC6kAIdI092-w&mra=dpe&mrsp=2&sz=15&via=1,2&sll=43.035709,-76.128988&sspn=0.011732,0.020084&ie=UTF8&t=h&z=15"
"Route 340 Inbound Saturday S 1580760219-31 17:35","2","Bird Library","Upstate Univerity Hospital","http://maps.google.com/maps?f=d&source=s_d&saddr=43.039376,-76.132573&daddr=43.040113,-76.1365814+to:43.0405286,-76.1372059+to:43.044246,-76.139172&hl=en&geocode=FZC6kAIdI092-w%3BFXG9kAIdez92-ylxLJdDn_PZiTEiJcliIwmAxw%3BFRC_kAIdCz12-ynzrC1Rn_PZiTFIvfFTlBvZcQ%3BFZbNkAIdXDV2-w&mra=dpe&mrsp=2&sz=16&via=1,2&sll=43.041805,-76.13588&sspn=0.005865,0.010042&ie=UTF8&t=h&z=16"
"Route 340 Inbound Saturday S 1580760219-31 17:35","3","Upstate Univerity Hospital","Civi Center","http://maps.google.com/maps?f=d&source=s_d&saddr=43.044246,-76.139172&daddr=43.045485,-76.147508"
"Route 340 Inbound Saturday S 1580760219-31 17:35","4","Civi Center","Downtown Fayette & Salina Strs","http://maps.google.com/maps?f=d&source=s_d&saddr=43.045485,-76.147508&daddr=43.0486263,-76.147915+to:E+Fayette+St&hl=en&geocode=FW3SkAIdzBR2-w%3BFbLekAIdNRN2-ylTujm4u_PZiTEIKarA7Z-_9A%3BFejekAIdWgJ2-w&mra=dme&mrsp=2&sz=19&via=1&sll=43.048661,-76.152018&sspn=0.000733,0.001255&ie=UTF8&t=h&ll=43.046687,-76.146541&spn=0.011698,0.020084&z=15"
"Route 340 Inbound Sunday S 503829333-32 07:58","0","Drumlins","Meadowbrook & Lancaster","http://maps.google.com/maps?f=d&source=s_d&saddr=43.020828,-76.105612&daddr=43.0348571,-76.113157+to:43.033982,-76.1149201+to:43.029906,-76.1183394+to:43.024771,-76.121804&geocode=FRxykAIddLh2-w%3BFemokAId-5p2-ykZ1fGXa_PZiTF-NOGwJl-n-w%3BFX6lkAIdGJR2-ykNFZEGbPPZiTHGsiMGhMBoHw%3BFZKVkAIdvYZ2-ym54byIb_PZiTEY2zRmkr5EdA%3BFYOBkAIdNHl2-w&hl=en&mra=dpe&mrsp=2&sz=15&via=1,2,3&sll=43.030157,-76.118045&sspn=0.011701,0.020084&ie=UTF8&ll=43.029404,-76.116586&spn=0.011701,0.020084&t=h&z=15"
"Route 340 Inbound Sunday S 503829333-32 07:58","1","Meadowbrook & Lancaster","Bird Library","http://maps.google.com/maps?f=d&source=s_d&saddr=43.024771,-76.121804&daddr=43.03647,-76.12565+to:43.03628,-76.1298+to:43.039376,-76.132573&hl=en&geocode=FYOBkAIdNHl2-w%3BFTavkAIdLmp2-ym9RnWZc_PZiTGICaeZvayQBA%3BFXiukAId-Fl2-ymZI4u1dfPZiTGKHCl7mIBqjA%3BFZC6kAIdI092-w&mra=dpe&mrsp=2&sz=15&via=1,2&sll=43.035709,-76.128988&sspn=0.011732,0.020084&ie=UTF8&t=h&z=15"
"Route 340 Inbound Sunday S 503829333-32 07:58","2","Bird Library","Upstate Univerity Hospital","http://maps.google.com/maps?f=d&source=s_d&saddr=43.039376,-76.132573&daddr=43.040113,-76.1365814+to:43.0405286,-76.1372059+to:43.044246,-76.139172&hl=en&geocode=FZC6kAIdI092-w%3BFXG9kAIdez92-ylxLJdDn_PZiTEiJcliIwmAxw%3BFRC_kAIdCz12-ynzrC1Rn_PZiTFIvfFTlBvZcQ%3BFZbNkAIdXDV2-w&mra=dpe&mrsp=2&sz=16&via=1,2&sll=43.041805,-76.13588&sspn=0.005865,0.010042&ie=UTF8&t=h&z=16"
"Route 340 Inbound Sunday S 503829333-32 07:58","3","Upstate Univerity Hospital","Civi Center","http://maps.google.com/maps?f=d&source=s_d&saddr=43.044246,-76.139172&daddr=43.045485,-76.147508"
"Route 340 Inbound Sunday S 503829333-32 07:58","4","Civi Center","Downtown Fayette & Salina Strs","http://maps.google.com/maps?f=d&source=s_d&saddr=43.045485,-76.147508&daddr=43.0486263,-76.147915+to:E+Fayette+St&hl=en&geocode=FW3SkAIdzBR2-w%3BFbLekAIdNRN2-ylTujm4u_PZiTEIKarA7Z-_9A%3BFejekAIdWgJ2-w&mra=dme&mrsp=2&sz=19&via=1&sll=43.048661,-76.152018&sspn=0.000733,0.001255&ie=UTF8&t=h&ll=43.046687,-76.146541&spn=0.011698,0.020084&z=15"
"Route 340 Inbound Sunday S 503829333-33 10:00","0","Drumlins","Meadowbrook & Lancaster","http://maps.google.com/maps?f=d&source=s_d&saddr=43.020828,-76.105612&daddr=43.0348571,-76.113157+to:43.033982,-76.1149201+to:43.029906,-76.1183394+to:43.024771,-76.121804&geocode=FRxykAIddLh2-w%3BFemokAId-5p2-ykZ1fGXa_PZiTF-NOGwJl-n-w%3BFX6lkAIdGJR2-ykNFZEGbPPZiTHGsiMGhMBoHw%3BFZKVkAIdvYZ2-ym54byIb_PZiTEY2zRmkr5EdA%3BFYOBkAIdNHl2-w&hl=en&mra=dpe&mrsp=2&sz=15&via=1,2,3&sll=43.030157,-76.118045&sspn=0.011701,0.020084&ie=UTF8&ll=43.029404,-76.116586&spn=0.011701,0.020084&t=h&z=15"
"Route 340 Inbound Sunday S 503829333-33 10:00","1","Meadowbrook & Lancaster","Bird Library","http://maps.google.com/maps?f=d&source=s_d&saddr=43.024771,-76.121804&daddr=43.03647,-76.12565+to:43.03628,-76.1298+to:43.039376,-76.132573&hl=en&geocode=FYOBkAIdNHl2-w%3BFTavkAIdLmp2-ym9RnWZc_PZiTGICaeZvayQBA%3BFXiukAId-Fl2-ymZI4u1dfPZiTGKHCl7mIBqjA%3BFZC6kAIdI092-w&mra=dpe&mrsp=2&sz=15&via=1,2&sll=43.035709,-76.128988&sspn=0.011732,0.020084&ie=UTF8&t=h&z=15"
"Route 340 Inbound Sunday S 503829333-33 10:00","2","Bird Library","Upstate Univerity Hospital","http://maps.google.com/maps?f=d&source=s_d&saddr=43.039376,-76.132573&daddr=43.040113,-76.1365814+to:43.0405286,-76.1372059+to:43.044246,-76.139172&hl=en&geocode=FZC6kAIdI092-w%3BFXG9kAIdez92-ylxLJdDn_PZiTEiJcliIwmAxw%3BFRC_kAIdCz12-ynzrC1Rn_PZiTFIvfFTlBvZcQ%3BFZbNkAIdXDV2-w&mra=dpe&mrsp=2&sz=16&via=1,2&sll=43.041805,-76.13588&sspn=0.005865,0.010042&ie=UTF8&t=h&z=16"
"Route 340 Inbound Sunday S 503829333-33 10:00","3","Upstate Univerity Hospital","Civi Center","http://maps.google.com/maps?f=d&source=s_d&saddr=43.044246,-76.139172&daddr=43.045485,-76.147508"
"Route 340 Inbound Sunday S 503829333-33 10:00","4","Civi Center","Downtown Fayette & Salina Strs","http://maps.google.com/maps?f=d&source=s_d&saddr=43.045485,-76.147508&daddr=43.0486263,-76.147915+to:E+Fayette+St&hl=en&geocode=FW3SkAIdzBR2-w%3BFbLekAIdNRN2-ylTujm4u_PZiTEIKarA7Z-_9A%3BFejekAIdWgJ2-w&mra=dme&mrsp=2&sz=19&via=1&sll=43.048661,-76.152018&sspn=0.000733,0.001255&ie=UTF8&t=h&ll=43.046687,-76.146541&spn=0.011698,0.020084&z=15"
"Route 340 Inbound Sunday S 503829333-34 12:20","0","Drumlins","Meadowbrook & Lancaster","http://maps.google.com/maps?f=d&source=s_d&saddr=43.020828,-76.105612&daddr=43.0348571,-76.113157+to:43.033982,-76.1149201+to:43.029906,-76.1183394+to:43.024771,-76.121804&geocode=FRxykAIddLh2-w%3BFemokAId-5p2-ykZ1fGXa_PZiTF-NOGwJl-n-w%3BFX6lkAIdGJR2-ykNFZEGbPPZiTHGsiMGhMBoHw%3BFZKVkAIdvYZ2-ym54byIb_PZiTEY2zRmkr5EdA%3BFYOBkAIdNHl2-w&hl=en&mra=dpe&mrsp=2&sz=15&via=1,2,3&sll=43.030157,-76.118045&sspn=0.011701,0.020084&ie=UTF8&ll=43.029404,-76.116586&spn=0.011701,0.020084&t=h&z=15"
"Route 340 Inbound Sunday S 503829333-34 12:20","1","Meadowbrook & Lancaster","Bird Library","http://maps.google.com/maps?f=d&source=s_d&saddr=43.024771,-76.121804&daddr=43.03647,-76.12565+to:43.03628,-76.1298+to:43.039376,-76.132573&hl=en&geocode=FYOBkAIdNHl2-w%3BFTavkAIdLmp2-ym9RnWZc_PZiTGICaeZvayQBA%3BFXiukAId-Fl2-ymZI4u1dfPZiTGKHCl7mIBqjA%3BFZC6kAIdI092-w&mra=dpe&mrsp=2&sz=15&via=1,2&sll=43.035709,-76.128988&sspn=0.011732,0.020084&ie=UTF8&t=h&z=15"
"Route 340 Inbound Sunday S 503829333-34 12:20","2","Bird Library","Upstate Univerity Hospital","http://maps.google.com/maps?f=d&source=s_d&saddr=43.039376,-76.132573&daddr=43.040113,-76.1365814+to:43.0405286,-76.1372059+to:43.044246,-76.139172&hl=en&geocode=FZC6kAIdI092-w%3BFXG9kAIdez92-ylxLJdDn_PZiTEiJcliIwmAxw%3BFRC_kAIdCz12-ynzrC1Rn_PZiTFIvfFTlBvZcQ%3BFZbNkAIdXDV2-w&mra=dpe&mrsp=2&sz=16&via=1,2&sll=43.041805,-76.13588&sspn=0.005865,0.010042&ie=UTF8&t=h&z=16"
"Route 340 Inbound Sunday S 503829333-34 12:20","3","Upstate Univerity Hospital","Civi Center","http://maps.google.com/maps?f=d&source=s_d&saddr=43.044246,-76.139172&daddr=43.045485,-76.147508"
"Route 340 Inbound Sunday S 503829333-34 12:20","4","Civi Center","Downtown Fayette & Salina Strs","http://maps.google.com/maps?f=d&source=s_d&saddr=43.045485,-76.147508&daddr=43.0486263,-76.147915+to:E+Fayette+St&hl=en&geocode=FW3SkAIdzBR2-w%3BFbLekAIdNRN2-ylTujm4u_PZiTEIKarA7Z-_9A%3BFejekAIdWgJ2-w&mra=dme&mrsp=2&sz=19&via=1&sll=43.048661,-76.152018&sspn=0.000733,0.001255&ie=UTF8&t=h&ll=43.046687,-76.146541&spn=0.011698,0.020084&z=15"
"Route 340 Inbound Sunday S 503829333-35 14:40","0","Drumlins","Meadowbrook & Lancaster","http://maps.google.com/maps?f=d&source=s_d&saddr=43.020828,-76.105612&daddr=43.0348571,-76.113157+to:43.033982,-76.1149201+to:43.029906,-76.1183394+to:43.024771,-76.121804&geocode=FRxykAIddLh2-w%3BFemokAId-5p2-ykZ1fGXa_PZiTF-NOGwJl-n-w%3BFX6lkAIdGJR2-ykNFZEGbPPZiTHGsiMGhMBoHw%3BFZKVkAIdvYZ2-ym54byIb_PZiTEY2zRmkr5EdA%3BFYOBkAIdNHl2-w&hl=en&mra=dpe&mrsp=2&sz=15&via=1,2,3&sll=43.030157,-76.118045&sspn=0.011701,0.020084&ie=UTF8&ll=43.029404,-76.116586&spn=0.011701,0.020084&t=h&z=15"
"Route 340 Inbound Sunday S 503829333-35 14:40","1","Meadowbrook & Lancaster","Bird Library","http://maps.google.com/maps?f=d&source=s_d&saddr=43.024771,-76.121804&daddr=43.03647,-76.12565+to:43.03628,-76.1298+to:43.039376,-76.132573&hl=en&geocode=FYOBkAIdNHl2-w%3BFTavkAIdLmp2-ym9RnWZc_PZiTGICaeZvayQBA%3BFXiukAId-Fl2-ymZI4u1dfPZiTGKHCl7mIBqjA%3BFZC6kAIdI092-w&mra=dpe&mrsp=2&sz=15&via=1,2&sll=43.035709,-76.128988&sspn=0.011732,0.020084&ie=UTF8&t=h&z=15"
"Route 340 Inbound Sunday S 503829333-35 14:40","2","Bird Library","Upstate Univerity Hospital","http://maps.google.com/maps?f=d&source=s_d&saddr=43.039376,-76.132573&daddr=43.040113,-76.1365814+to:43.0405286,-76.1372059+to:43.044246,-76.139172&hl=en&geocode=FZC6kAIdI092-w%3BFXG9kAIdez92-ylxLJdDn_PZiTEiJcliIwmAxw%3BFRC_kAIdCz12-ynzrC1Rn_PZiTFIvfFTlBvZcQ%3BFZbNkAIdXDV2-w&mra=dpe&mrsp=2&sz=16&via=1,2&sll=43.041805,-76.13588&sspn=0.005865,0.010042&ie=UTF8&t=h&z=16"
"Route 340 Inbound Sunday S 503829333-35 14:40","3","Upstate Univerity Hospital","Civi Center","http://maps.google.com/maps?f=d&source=s_d&saddr=43.044246,-76.139172&daddr=43.045485,-76.147508"
"Route 340 Inbound Sunday S 503829333-35 14:40","4","Civi Center","Downtown Fayette & Salina Strs","http://maps.google.com/maps?f=d&source=s_d&saddr=43.045485,-76.147508&daddr=43.0486263,-76.147915+to:E+Fayette+St&hl=en&geocode=FW3SkAIdzBR2-w%3BFbLekAIdNRN2-ylTujm4u_PZiTEIKarA7Z-_9A%3BFejekAIdWgJ2-w&mra=dme&mrsp=2&sz=19&via=1&sll=43.048661,-76.152018&sspn=0.000733,0.001255&ie=UTF8&t=h&ll=43.046687,-76.146541&spn=0.011698,0.020084&z=15"
"Route 340 Inbound Sunday S 503829333-36 17:00","0","Drumlins","Meadowbrook & Lancaster","http://maps.google.com/maps?f=d&source=s_d&saddr=43.020828,-76.105612&daddr=43.0348571,-76.113157+to:43.033982,-76.1149201+to:43.029906,-76.1183394+to:43.024771,-76.121804&geocode=FRxykAIddLh2-w%3BFemokAId-5p2-ykZ1fGXa_PZiTF-NOGwJl-n-w%3BFX6lkAIdGJR2-ykNFZEGbPPZiTHGsiMGhMBoHw%3BFZKVkAIdvYZ2-ym54byIb_PZiTEY2zRmkr5EdA%3BFYOBkAIdNHl2-w&hl=en&mra=dpe&mrsp=2&sz=15&via=1,2,3&sll=43.030157,-76.118045&sspn=0.011701,0.020084&ie=UTF8&ll=43.029404,-76.116586&spn=0.011701,0.020084&t=h&z=15"
"Route 340 Inbound Sunday S 503829333-36 17:00","1","Meadowbrook & Lancaster","Bird Library","http://maps.google.com/maps?f=d&source=s_d&saddr=43.024771,-76.121804&daddr=43.03647,-76.12565+to:43.03628,-76.1298+to:43.039376,-76.132573&hl=en&geocode=FYOBkAIdNHl2-w%3BFTavkAIdLmp2-ym9RnWZc_PZiTGICaeZvayQBA%3BFXiukAId-Fl2-ymZI4u1dfPZiTGKHCl7mIBqjA%3BFZC6kAIdI092-w&mra=dpe&mrsp=2&sz=15&via=1,2&sll=43.035709,-76.128988&sspn=0.011732,0.020084&ie=UTF8&t=h&z=15"
"Route 340 Inbound Sunday S 503829333-36 17:00","2","Bird Library","Upstate Univerity Hospital","http://maps.google.com/maps?f=d&source=s_d&saddr=43.039376,-76.132573&daddr=43.040113,-76.1365814+to:43.0405286,-76.1372059+to:43.044246,-76.139172&hl=en&geocode=FZC6kAIdI092-w%3BFXG9kAIdez92-ylxLJdDn_PZiTEiJcliIwmAxw%3BFRC_kAIdCz12-ynzrC1Rn_PZiTFIvfFTlBvZcQ%3BFZbNkAIdXDV2-w&mra=dpe&mrsp=2&sz=16&via=1,2&sll=43.041805,-76.13588&sspn=0.005865,0.010042&ie=UTF8&t=h&z=16"
"Route 340 Inbound Sunday S 503829333-36 17:00","3","Upstate Univerity Hospital","Civi Center","http://maps.google.com/maps?f=d&source=s_d&saddr=43.044246,-76.139172&daddr=43.045485,-76.147508"
"Route 340 Inbound Sunday S 503829333-36 17:00","4","Civi Center","Downtown Fayette & Salina Strs","http://maps.google.com/maps?f=d&source=s_d&saddr=43.045485,-76.147508&daddr=43.0486263,-76.147915+to:E+Fayette+St&hl=en&geocode=FW3SkAIdzBR2-w%3BFbLekAIdNRN2-ylTujm4u_PZiTEIKarA7Z-_9A%3BFejekAIdWgJ2-w&mra=dme&mrsp=2&sz=19&via=1&sll=43.048661,-76.152018&sspn=0.000733,0.001255&ie=UTF8&t=h&ll=43.046687,-76.146541&spn=0.011698,0.020084&z=15"
"Route 340 Inbound Sunday S 503829333-37 18:40","0","Drumlins","Meadowbrook & Lancaster","http://maps.google.com/maps?f=d&source=s_d&saddr=43.020828,-76.105612&daddr=43.0348571,-76.113157+to:43.033982,-76.1149201+to:43.029906,-76.1183394+to:43.024771,-76.121804&geocode=FRxykAIddLh2-w%3BFemokAId-5p2-ykZ1fGXa_PZiTF-NOGwJl-n-w%3BFX6lkAIdGJR2-ykNFZEGbPPZiTHGsiMGhMBoHw%3BFZKVkAIdvYZ2-ym54byIb_PZiTEY2zRmkr5EdA%3BFYOBkAIdNHl2-w&hl=en&mra=dpe&mrsp=2&sz=15&via=1,2,3&sll=43.030157,-76.118045&sspn=0.011701,0.020084&ie=UTF8&ll=43.029404,-76.116586&spn=0.011701,0.020084&t=h&z=15"
"Route 340 Inbound Sunday S 503829333-37 18:40","1","Meadowbrook & Lancaster","Bird Library","http://maps.google.com/maps?f=d&source=s_d&saddr=43.024771,-76.121804&daddr=43.03647,-76.12565+to:43.03628,-76.1298+to:43.039376,-76.132573&hl=en&geocode=FYOBkAIdNHl2-w%3BFTavkAIdLmp2-ym9RnWZc_PZiTGICaeZvayQBA%3BFXiukAId-Fl2-ymZI4u1dfPZiTGKHCl7mIBqjA%3BFZC6kAIdI092-w&mra=dpe&mrsp=2&sz=15&via=1,2&sll=43.035709,-76.128988&sspn=0.011732,0.020084&ie=UTF8&t=h&z=15"
"Route 340 Inbound Sunday S 503829333-37 18:40","2","Bird Library","Upstate Univerity Hospital","http://maps.google.com/maps?f=d&source=s_d&saddr=43.039376,-76.132573&daddr=43.040113,-76.1365814+to:43.0405286,-76.1372059+to:43.044246,-76.139172&hl=en&geocode=FZC6kAIdI092-w%3BFXG9kAIdez92-ylxLJdDn_PZiTEiJcliIwmAxw%3BFRC_kAIdCz12-ynzrC1Rn_PZiTFIvfFTlBvZcQ%3BFZbNkAIdXDV2-w&mra=dpe&mrsp=2&sz=16&via=1,2&sll=43.041805,-76.13588&sspn=0.005865,0.010042&ie=UTF8&t=h&z=16"
"Route 340 Inbound Sunday S 503829333-37 18:40","3","Upstate Univerity Hospital","Civi Center","http://maps.google.com/maps?f=d&source=s_d&saddr=43.044246,-76.139172&daddr=43.045485,-76.147508"
"Route 340 Inbound Sunday S 503829333-37 18:40","4","Civi Center","Downtown Fayette & Salina Strs","http://maps.google.com/maps?f=d&source=s_d&saddr=43.045485,-76.147508&daddr=43.0486263,-76.147915+to:E+Fayette+St&hl=en&geocode=FW3SkAIdzBR2-w%3BFbLekAIdNRN2-ylTujm4u_PZiTEIKarA7Z-_9A%3BFejekAIdWgJ2-w&mra=dme&mrsp=2&sz=19&via=1&sll=43.048661,-76.152018&sspn=0.000733,0.001255&ie=UTF8&t=h&ll=43.046687,-76.146541&spn=0.011698,0.020084&z=15"
