"name","position","journey_pattern","from","to","time","view_path_coordinates"
"Route 340 Inbound Weekday Note 3_1",1,"Route 340 Inbound Weekday Note 3",12,13,7,"""--- \nLonLat: \n- - -76.10568\n  - 43.02082\n- - -76.10784\n  - 43.02092\n- - -76.10836\n  - 43.02111\n- - -76.11043\n  - 43.0226\n- - -76.11102\n  - 43.02312\n- - -76.11158\n  - 43.02934\n- - -76.11177\n  - 43.0323\n- - -76.11177\n  - 43.0323\n- - -76.1114\n  - 43.03275\n- - -76.11116\n  - 43.03322\n- - -76.11111\n  - 43.03359\n- - -76.11116\n  - 43.03469\n- - -76.11111\n  - 43.03497\n- - -76.11098\n  - 43.03524\n- - -76.108\n  - 43.03915\n- - -76.108\n  - 43.03915\n- - -76.10768\n  - 43.03889\n- - -76.10748\n  - 43.03854\n- - -76.10674\n  - 43.03481\n- - -76.10674\n  - 43.03481\n- - -76.10734\n  - 43.03476\n- - -76.1078\n  - 43.03481\n- - -76.10816\n  - 43.03494\n- - -76.11025\n  - 43.03647\n- - -76.11025\n  - 43.03647\n- - -76.11123\n  - 43.03519\n- - -76.11135\n  - 43.03492\n- - -76.11135\n  - 43.03492\n- - -76.11498\n  - 43.03479\n- - -76.11498\n  - 43.03479\n- - -76.11471\n  - 43.03059\n- - -76.11471\n  - 43.03059\n- - -76.11838\n  - 43.03042\n- - -76.11838\n  - 43.03042\n- - -76.11805\n  - 43.02655\n- - -76.11805\n  - 43.02655\n- - -76.12016\n  - 43.02567\n- - -76.12044\n  - 43.02545\n- - -76.12056\n  - 43.02527\n- - -76.12056\n  - 43.02485\n- - -76.12056\n  - 43.02485\n- - -76.12182\n  - 43.02478\n"""
"Route 340 Inbound Weekday Note 3_2",2,"Route 340 Inbound Weekday Note 3",13,15,6,"""--- \nLonLat: \n- - -76.12182\n  - 43.02478\n- - -76.12208\n  - 43.02778\n- - -76.12208\n  - 43.02778\n- - -76.12082\n  - 43.02784\n- - -76.12082\n  - 43.02784\n- - -76.12091\n  - 43.02893\n- - -76.12116\n  - 43.03028\n- - -76.12135\n  - 43.0322\n- - -76.12135\n  - 43.0322\n- - -76.12275\n  - 43.03213\n- - -76.12275\n  - 43.03213\n- - -76.12317\n  - 43.0366\n- - -76.12317\n  - 43.0366\n- - -76.1298\n  - 43.03628\n- - -76.1298\n  - 43.03628\n- - -76.13008\n  - 43.03935\n- - -76.1325620682958\n  - 43.0393718824067\n"""
"Route 340 Inbound Weekday Note 3_3",3,"Route 340 Inbound Weekday Note 3",15,16,10,"""--- \nLonLat: \n- - -76.1325620682958\n  - 43.0393718824067\n- - -76.13008\n  - 43.03935\n- - -76.13659\n  - 43.03941\n- - -76.13659\n  - 43.03941\n- - -76.13665\n  - 43.03976\n- - -76.13658\n  - 43.04022\n- - -76.1367\n  - 43.04045\n- - -76.1366\n  - 43.0442\n- - -76.1366\n  - 43.0442\n- - -76.1391357699184\n  - 43.044244054271\n"""
"Route 340 Inbound Weekday Note 3_4",4,"Route 340 Inbound Weekday Note 3",16,17,5,"""--- \nLonLat: \n- - -76.1391357699184\n  - 43.044244054271\n- - -76.14006\n  - 43.04426\n- - -76.14174\n  - 43.04438\n- - -76.14288\n  - 43.04438\n- - -76.14359\n  - 43.0443\n- - -76.14416\n  - 43.04428\n- - -76.147508508161\n  - 43.0454580356056\n"""
"Route 340 Inbound Weekday Note 3_5",5,"Route 340 Inbound Weekday Note 3",17,18,5,"""--- \nLonLat: \n- - -76.147508508161\n  - 43.0454580356056\n- - -76.14752\n  - 43.04429\n- - -76.14752\n  - 43.04429\n- - -76.14742\n  - 43.04862\n- - -76.14742\n  - 43.04862\n- - -76.15223\n  - 43.04868\n"""
"Route 340 Inbound Weekday Note 2_1",1,"Route 340 Inbound Weekday Note 2",12,13,8,"""--- \nLonLat: \n- - -76.10611\n  - 43.02084\n- - -76.10784\n  - 43.02092\n- - -76.10836\n  - 43.02111\n- - -76.11043\n  - 43.0226\n- - -76.11102\n  - 43.02312\n- - -76.11158\n  - 43.02934\n- - -76.11177\n  - 43.0323\n- - -76.11177\n  - 43.0323\n- - -76.1114\n  - 43.03275\n- - -76.11116\n  - 43.03322\n- - -76.11111\n  - 43.03359\n- - -76.11116\n  - 43.03439\n- - -76.11113\n  - 43.03489\n- - -76.11113\n  - 43.03489\n"
"Route 340 Inbound Weekday Note 2_2",2,"Route 340 Inbound Weekday Note 2",13,14,8,"""--- \nLonLat: \n- - -76.12182\n  - 43.02478\n- - -76.12208\n  - 43.02778\n- - -76.12208\n  - 43.02778\n- - -76.12082\n  - 43.02784\n- - -76.12082\n  - 43.02784\n- - -76.12091\n  - 43.02893\n- - -76.12116\n  - 43.03028\n- - -76.12135\n  - 43.0322\n- - -76.12135\n  - 43.0322\n- - -76.12275\n  - 43.03213\n- - -76.12275\n  - 43.03213\n- - -76.12317\n  - 43.0366\n- - -76.12317\n  - 43.0366\n- - -76.1298\n  - 43.03628\n- - -76.1298\n  - 43.03628\n- - -76.13008\n  - 43.03935\n- - -76.1316072538829\n  - 43.039353215814\n"""
"Route 340 Inbound Weekday Note 1_1",1,"Route 340 Inbound Weekday Note 1",12,13,7,"""--- \nLonLat: \n- - -76.10568\n  - 43.02082\n- - -76.10784\n  - 43.02092\n- - -76.10836\n  - 43.02111\n- - -76.11043\n  - 43.0226\n- - -76.11102\n  - 43.02312\n- - -76.11158\n  - 43.02934\n- - -76.11177\n  - 43.0323\n- - -76.11177\n  - 43.0323\n- - -76.1114\n  - 43.03275\n- - -76.11116\n  - 43.03322\n- - -76.11111\n  - 43.03359\n- - -76.11116\n  - 43.03469\n- - -76.11111\n  - 43.03497\n- - -76.11098\n  - 43.03524\n- - -76.108\n  - 43.03915\n- - -76.108\n  - 43.03915\n- - -76.10768\n  - 43.03889\n- - -76.10748\n  - 43.03854\n- - -76.10674\n  - 43.03481\n- - -76.10674\n  - 43.03481\n- - -76.10734\n  - 43.03476\n- - -76.1078\n  - 43.03481\n- - -76.10816\n  - 43.03494\n- - -76.11025\n  - 43.03647\n- - -76.11025\n  - 43.03647\n- - -76.11123\n  - 43.03519\n- - -76.11135\n  - 43.03492\n- - -76.11135\n  - 43.03492\n- - -76.11498\n  - 43.03479\n- - -76.11498\n  - 43.03479\n- - -76.11471\n  - 43.03059\n- - -76.11471\n  - 43.03059\n- - -76.11838\n  - 43.03042\n- - -76.11838\n  - 43.03042\n- - -76.11805\n  - 43.02655\n- - -76.11805\n  - 43.02655\n- - -76.12016\n  - 43.02567\n- - -76.12044\n  - 43.02545\n- - -76.12056\n  - 43.02527\n- - -76.12056\n  - 43.02485\n- - -76.12056\n  - 43.02485\n- - -76.12182\n  - 43.02478\n"""
"Route 340 Inbound Weekday Note 1_2",2,"Route 340 Inbound Weekday Note 1",13,15,7,"""--- \nLonLat: \n- - -76.12182\n  - 43.02478\n- - -76.12208\n  - 43.02778\n- - -76.12208\n  - 43.02778\n- - -76.12082\n  - 43.02784\n- - -76.12082\n  - 43.02784\n- - -76.12091\n  - 43.02893\n- - -76.12116\n  - 43.03028\n- - -76.12135\n  - 43.0322\n- - -76.12135\n  - 43.0322\n- - -76.12275\n  - 43.03213\n- - -76.12275\n  - 43.03213\n- - -76.12317\n  - 43.0366\n- - -76.12317\n  - 43.0366\n- - -76.1298\n  - 43.03628\n- - -76.1298\n  - 43.03628\n- - -76.13008\n  - 43.03935\n- - -76.13008\n  - 43.03935\n- - -76.13551\n  - 43.0394\n"""
"Route 340 Inbound Weekday Note 1_3",3,"Route 340 Inbound Weekday Note 1",15,16,8,"""--- \nLonLat: \n- - -76.1325620682958\n  - 43.0393718824067\n- - -76.13008\n  - 43.03935\n- - -76.13659\n  - 43.03941\n- - -76.13659\n  - 43.03941\n- - -76.13665\n  - 43.03976\n- - -76.13658\n  - 43.04022\n- - -76.1367\n  - 43.04045\n- - -76.1366\n  - 43.0442\n- - -76.1366\n  - 43.0442\n- - -76.1391357699184\n  - 43.044244054271\n"""
"Route 340 Inbound Weekday Note 1_4",4,"Route 340 Inbound Weekday Note 1",16,17,5,"""--- \nLonLat: \n- - -76.1391357699184\n  - 43.044244054271\n- - -76.14006\n  - 43.04426\n- - -76.14174\n  - 43.04438\n- - -76.14288\n  - 43.04438\n- - -76.14359\n  - 43.0443\n- - -76.14416\n  - 43.04428\n- - -76.147508508161\n  - 43.0454580356056\n"""
"Route 340 Inbound Weekday Note 1_5",5,"Route 340 Inbound Weekday Note 1",17,18,5,"""--- \nLonLat: \n- - -76.147508508161\n  - 43.0454580356056\n- - -76.14752\n  - 43.04429\n- - -76.14752\n  - 43.04429\n- - -76.14742\n  - 43.04862\n- - -76.14742\n  - 43.04862\n- - -76.15223\n  - 43.04868\n"""
"Route 340 Inbound Weekday_1",1,"Route 340 Inbound Weekday",12,13,7,"""--- \nLonLat: \n- - -76.12182\n  - 43.02478\n- - -76.12208\n  - 43.02778\n- - -76.12208\n  - 43.02778\n- - -76.12082\n  - 43.02784\n- - -76.12082\n  - 43.02784\n- - -76.12091\n  - 43.02893\n- - -76.12116\n  - 43.03028\n- - -76.12135\n  - 43.0322\n- - -76.12135\n  - 43.0322\n- - -76.12275\n  - 43.03213\n- - -76.12275\n  - 43.03213\n- - -76.12317\n  - 43.0366\n- - -76.12317\n  - 43.0366\n- - -76.1298\n  - 43.03628\n- - -76.1298\n  - 43.03628\n- - -76.13008\n  - 43.03935\n- - -76.1316072538829\n  - 43.039353215814\n"""
"Route 340 Inbound Weekday_2",2,"Route 340 Inbound Weekday",13,15,6,"""--- \nLonLat: \n- - -76.12182\n  - 43.02478\n- - -76.12208\n  - 43.02778\n- - -76.12208\n  - 43.02778\n- - -76.12082\n  - 43.02784\n- - -76.12082\n  - 43.02784\n- - -76.12091\n  - 43.02893\n- - -76.12116\n  - 43.03028\n- - -76.12135\n  - 43.0322\n- - -76.12135\n  - 43.0322\n- - -76.12275\n  - 43.03213\n- - -76.12275\n  - 43.03213\n- - -76.12317\n  - 43.0366\n- - -76.12317\n  - 43.0366\n- - -76.1298\n  - 43.03628\n- - -76.1298\n  - 43.03628\n- - -76.13008\n  - 43.03935\n- - -76.1325620682958\n  - 43.0393718824067\n"""
"Route 340 Inbound Weekday_3",3,"Route 340 Inbound Weekday",15,16,8,"""--- \nLonLat: \n- - -76.1325620682958\n  - 43.0393718824067\n- - -76.13008\n  - 43.03935\n- - -76.13659\n  - 43.03941\n- - -76.13659\n  - 43.03941\n- - -76.13665\n  - 43.03976\n- - -76.13658\n  - 43.04022\n- - -76.1367\n  - 43.04045\n- - -76.1366\n  - 43.0442\n- - -76.1366\n  - 43.0442\n- - -76.1391357699184\n  - 43.044244054271\n"""
"Route 340 Inbound Weekday_4",4,"Route 340 Inbound Weekday",16,17,4,"""--- \nLonLat: \n- - -76.1391357699184\n  - 43.044244054271\n- - -76.14006\n  - 43.04426\n- - -76.14174\n  - 43.04438\n- - -76.14288\n  - 43.04438\n- - -76.14359\n  - 43.0443\n- - -76.14416\n  - 43.04428\n- - -76.147508508161\n  - 43.0454580356056\n"""
"Route 340 Inbound Weekday_5",5,"Route 340 Inbound Weekday",17,18,5,"""--- \nLonLat: \n- - -76.147508508161\n  - 43.0454580356056\n- - -76.14752\n  - 43.04429\n- - -76.14752\n  - 43.04429\n- - -76.14742\n  - 43.04862\n- - -76.14742\n  - 43.04862\n- - -76.15223\n  - 43.04868\n"""
"Route 340 Inbound Saturday_1",1,"Route 340 Inbound Saturday",12,13,7,"""--- \nLonLat: \n- - -76.12182\n  - 43.02478\n- - -76.12208\n  - 43.02778\n- - -76.12208\n  - 43.02778\n- - -76.12082\n  - 43.02784\n- - -76.12082\n  - 43.02784\n- - -76.12091\n  - 43.02893\n- - -76.12116\n  - 43.03028\n- - -76.12135\n  - 43.0322\n- - -76.12135\n  - 43.0322\n- - -76.12275\n  - 43.03213\n- - -76.12275\n  - 43.03213\n- - -76.12317\n  - 43.0366\n- - -76.12317\n  - 43.0366\n- - -76.1298\n  - 43.03628\n- - -76.1298\n  - 43.03628\n- - -76.13008\n  - 43.03935\n- - -76.1316072538829\n  - 43.039353215814\n"""
"Route 340 Inbound Saturday_2",2,"Route 340 Inbound Saturday",13,15,6,"""--- \nLonLat: \n- - -76.12182\n  - 43.02478\n- - -76.12208\n  - 43.02778\n- - -76.12208\n  - 43.02778\n- - -76.12082\n  - 43.02784\n- - -76.12082\n  - 43.02784\n- - -76.12091\n  - 43.02893\n- - -76.12116\n  - 43.03028\n- - -76.12135\n  - 43.0322\n- - -76.12135\n  - 43.0322\n- - -76.12275\n  - 43.03213\n- - -76.12275\n  - 43.03213\n- - -76.12317\n  - 43.0366\n- - -76.12317\n  - 43.0366\n- - -76.1298\n  - 43.03628\n- - -76.1298\n  - 43.03628\n- - -76.13008\n  - 43.03935\n- - -76.1325620682958\n  - 43.0393718824067\n"""
"Route 340 Inbound Saturday_3",3,"Route 340 Inbound Saturday",15,16,8,"""--- \nLonLat: \n- - -76.1325620682958\n  - 43.0393718824067\n- - -76.13008\n  - 43.03935\n- - -76.13659\n  - 43.03941\n- - -76.13659\n  - 43.03941\n- - -76.13665\n  - 43.03976\n- - -76.13658\n  - 43.04022\n- - -76.1367\n  - 43.04045\n- - -76.1366\n  - 43.0442\n- - -76.1366\n  - 43.0442\n- - -76.1391357699184\n  - 43.044244054271\n"""
"Route 340 Inbound Saturday_4",4,"Route 340 Inbound Saturday",16,17,3,"""--- \nLonLat: \n- - -76.1391357699184\n  - 43.044244054271\n- - -76.14006\n  - 43.04426\n- - -76.14174\n  - 43.04438\n- - -76.14288\n  - 43.04438\n- - -76.14359\n  - 43.0443\n- - -76.14416\n  - 43.04428\n- - -76.147508508161\n  - 43.0454580356056\n"""
"Route 340 Inbound Saturday_5",5,"Route 340 Inbound Saturday",17,18,6,"""--- \nLonLat: \n- - -76.147508508161\n  - 43.0454580356056\n- - -76.14752\n  - 43.04429\n- - -76.14752\n  - 43.04429\n- - -76.14742\n  - 43.04862\n- - -76.14742\n  - 43.04862\n- - -76.15223\n  - 43.04868\n"""
"Route 340 Inbound Sunday & Holidays A_1",1,"Route 340 Inbound Sunday & Holidays A",12,13,8,"""--- \nLonLat: \n- - -76.12182\n  - 43.02478\n- - -76.12208\n  - 43.02778\n- - -76.12208\n  - 43.02778\n- - -76.12082\n  - 43.02784\n- - -76.12082\n  - 43.02784\n- - -76.12091\n  - 43.02893\n- - -76.12116\n  - 43.03028\n- - -76.12135\n  - 43.0322\n- - -76.12135\n  - 43.0322\n- - -76.12275\n  - 43.03213\n- - -76.12275\n  - 43.03213\n- - -76.12317\n  - 43.0366\n- - -76.12317\n  - 43.0366\n- - -76.1298\n  - 43.03628\n- - -76.1298\n  - 43.03628\n- - -76.13008\n  - 43.03935\n- - -76.1316072538829\n  - 43.039353215814\n"""
"Route 340 Inbound Sunday & Holidays A_2",2,"Route 340 Inbound Sunday & Holidays A",13,15,5,"""--- \nLonLat: \n- - -76.12182\n  - 43.02478\n- - -76.12208\n  - 43.02778\n- - -76.12208\n  - 43.02778\n- - -76.12082\n  - 43.02784\n- - -76.12082\n  - 43.02784\n- - -76.12091\n  - 43.02893\n- - -76.12116\n  - 43.03028\n- - -76.12135\n  - 43.0322\n- - -76.12135\n  - 43.0322\n- - -76.12275\n  - 43.03213\n- - -76.12275\n  - 43.03213\n- - -76.12317\n  - 43.0366\n- - -76.12317\n  - 43.0366\n- - -76.1298\n  - 43.03628\n- - -76.1298\n  - 43.03628\n- - -76.13008\n  - 43.03935\n- - -76.1325620682958\n  - 43.0393718824067\n"""
"Route 340 Inbound Sunday & Holidays A_3",3,"Route 340 Inbound Sunday & Holidays A",15,16,8,"""--- \nLonLat: \n- - -76.1325620682958\n  - 43.0393718824067\n- - -76.13008\n  - 43.03935\n- - -76.13659\n  - 43.03941\n- - -76.13659\n  - 43.03941\n- - -76.13665\n  - 43.03976\n- - -76.13658\n  - 43.04022\n- - -76.1367\n  - 43.04045\n- - -76.1366\n  - 43.0442\n- - -76.1366\n  - 43.0442\n- - -76.1391357699184\n  - 43.044244054271\n"""
"Route 340 Inbound Sunday & Holidays A_4",4,"Route 340 Inbound Sunday & Holidays A",16,17,4,"""--- \nLonLat: \n- - -76.1391357699184\n  - 43.044244054271\n- - -76.14006\n  - 43.04426\n- - -76.14174\n  - 43.04438\n- - -76.14288\n  - 43.04438\n- - -76.14359\n  - 43.0443\n- - -76.14416\n  - 43.04428\n- - -76.147508508161\n  - 43.0454580356056\n"""
"Route 340 Inbound Sunday & Holidays A_5",5,"Route 340 Inbound Sunday & Holidays A",17,18,5,"""--- \nLonLat: \n- - -76.147508508161\n  - 43.0454580356056\n- - -76.14752\n  - 43.04429\n- - -76.14752\n  - 43.04429\n- - -76.14742\n  - 43.04862\n- - -76.14742\n  - 43.04862\n- - -76.15223\n  - 43.04868\n"""
"Route 340 Inbound Sunday & Holidays B_1",1,"Route 340 Inbound Sunday & Holidays B",12,13,8,"""--- \nLonLat: \n- - -76.12182\n  - 43.02478\n- - -76.12208\n  - 43.02778\n- - -76.12208\n  - 43.02778\n- - -76.12082\n  - 43.02784\n- - -76.12082\n  - 43.02784\n- - -76.12091\n  - 43.02893\n- - -76.12116\n  - 43.03028\n- - -76.12135\n  - 43.0322\n- - -76.12135\n  - 43.0322\n- - -76.12275\n  - 43.03213\n- - -76.12275\n  - 43.03213\n- - -76.12317\n  - 43.0366\n- - -76.12317\n  - 43.0366\n- - -76.1298\n  - 43.03628\n- - -76.1298\n  - 43.03628\n- - -76.13008\n  - 43.03935\n- - -76.1316072538829\n  - 43.039353215814\n"""
"Route 340 Inbound Sunday & Holidays B_2",2,"Route 340 Inbound Sunday & Holidays B",13,15,5,"""--- \nLonLat: \n- - -76.12182\n  - 43.02478\n- - -76.12208\n  - 43.02778\n- - -76.12208\n  - 43.02778\n- - -76.12082\n  - 43.02784\n- - -76.12082\n  - 43.02784\n- - -76.12091\n  - 43.02893\n- - -76.12116\n  - 43.03028\n- - -76.12135\n  - 43.0322\n- - -76.12135\n  - 43.0322\n- - -76.12275\n  - 43.03213\n- - -76.12275\n  - 43.03213\n- - -76.12317\n  - 43.0366\n- - -76.12317\n  - 43.0366\n- - -76.1298\n  - 43.03628\n- - -76.1298\n  - 43.03628\n- - -76.13008\n  - 43.03935\n- - -76.1325620682958\n  - 43.0393718824067\n"""
"Route 340 Inbound Sunday & Holidays B_3",3,"Route 340 Inbound Sunday & Holidays B",15,16,10,"""--- \nLonLat: \n- - -76.1325620682958\n  - 43.0393718824067\n- - -76.13008\n  - 43.03935\n- - -76.13659\n  - 43.03941\n- - -76.13659\n  - 43.03941\n- - -76.13665\n  - 43.03976\n- - -76.13658\n  - 43.04022\n- - -76.1367\n  - 43.04045\n- - -76.1366\n  - 43.0442\n- - -76.1366\n  - 43.0442\n- - -76.1391357699184\n  - 43.044244054271\n"""
"Route 340 Inbound Sunday & Holidays B_4",4,"Route 340 Inbound Sunday & Holidays B",16,17,4,"""--- \nLonLat: \n- - -76.1391357699184\n  - 43.044244054271\n- - -76.14006\n  - 43.04426\n- - -76.14174\n  - 43.04438\n- - -76.14288\n  - 43.04438\n- - -76.14359\n  - 43.0443\n- - -76.14416\n  - 43.04428\n- - -76.147508508161\n  - 43.0454580356056\n"""
"Route 340 Inbound Sunday & Holidays B_5",5,"Route 340 Inbound Sunday & Holidays B",17,18,8,"""--- \nLonLat: \n- - -76.147508508161\n  - 43.0454580356056\n- - -76.14752\n  - 43.04429\n- - -76.14752\n  - 43.04429\n- - -76.14742\n  - 43.04862\n- - -76.14742\n  - 43.04862\n- - -76.15223\n  - 43.04868\n"""
"Route 340 Inbound Sunday & Holidays C_1",1,"Route 340 Inbound Sunday & Holidays C",12,13,8,"""--- \nLonLat: \n- - -76.12182\n  - 43.02478\n- - -76.12208\n  - 43.02778\n- - -76.12208\n  - 43.02778\n- - -76.12082\n  - 43.02784\n- - -76.12082\n  - 43.02784\n- - -76.12091\n  - 43.02893\n- - -76.12116\n  - 43.03028\n- - -76.12135\n  - 43.0322\n- - -76.12135\n  - 43.0322\n- - -76.12275\n  - 43.03213\n- - -76.12275\n  - 43.03213\n- - -76.12317\n  - 43.0366\n- - -76.12317\n  - 43.0366\n- - -76.1298\n  - 43.03628\n- - -76.1298\n  - 43.03628\n- - -76.13008\n  - 43.03935\n- - -76.1316072538829\n  - 43.039353215814\n"""
