"name","position","journey_pattern","from","to","time","view_path_coordinates"
"Route 340 Inbound Sunday & Holidays C_2",2,"Route 340 Inbound Sunday & Holidays C",13,15,5,"""--- \nLonLat: \n- - -76.12182\n  - 43.02478\n- - -76.12208\n  - 43.02778\n- - -76.12208\n  - 43.02778\n- - -76.12082\n  - 43.02784\n- - -76.12082\n  - 43.02784\n- - -76.12091\n  - 43.02893\n- - -76.12116\n  - 43.03028\n- - -76.12135\n  - 43.0322\n- - -76.12135\n  - 43.0322\n- - -76.12275\n  - 43.03213\n- - -76.12275\n  - 43.03213\n- - -76.12317\n  - 43.0366\n- - -76.12317\n  - 43.0366\n- - -76.1298\n  - 43.03628\n- - -76.1298\n  - 43.03628\n- - -76.13008\n  - 43.03935\n- - -76.1325620682958\n  - 43.0393718824067\n"""
"Route 340 Inbound Sunday & Holidays C_3",3,"Route 340 Inbound Sunday & Holidays C",15,16,10,"""--- \nLonLat: \n- - -76.1325620682958\n  - 43.0393718824067\n- - -76.13008\n  - 43.03935\n- - -76.13659\n  - 43.03941\n- - -76.13659\n  - 43.03941\n- - -76.13665\n  - 43.03976\n- - -76.13658\n  - 43.04022\n- - -76.1367\n  - 43.04045\n- - -76.1366\n  - 43.0442\n- - -76.1366\n  - 43.0442\n- - -76.1391357699184\n  - 43.044244054271\n"""
"Route 340 Inbound Sunday & Holidays C_4",4,"Route 340 Inbound Sunday & Holidays C",16,17,4,"""--- \nLonLat: \n- - -76.1391357699184\n  - 43.044244054271\n- - -76.14006\n  - 43.04426\n- - -76.14174\n  - 43.04438\n- - -76.14288\n  - 43.04438\n- - -76.14359\n  - 43.0443\n- - -76.14416\n  - 43.04428\n- - -76.147508508161\n  - 43.0454580356056\n"""
"Route 340 Inbound Sunday & Holidays C_5",5,"Route 340 Inbound Sunday & Holidays C",17,18,5,"""--- \nLonLat: \n- - -76.147508508161\n  - 43.0454580356056\n- - -76.14752\n  - 43.04429\n- - -76.14752\n  - 43.04429\n- - -76.14742\n  - 43.04862\n- - -76.14742\n  - 43.04862\n- - -76.15223\n  - 43.04868\n"""
"Route 340 Outbound Weekday Note 1_1",1,"Route 340 Outbound Weekday Note 1",18,17,3,"""--- \nLonLat: \n- - -76.15223\n  - 43.04868\n- - -76.14742\n  - 43.04862\n- - -76.14742\n  - 43.04862\n- - -76.14754\n  - 43.04274\n"""
"Route 340 Outbound Weekday Note 1_2",2,"Route 340 Outbound Weekday Note 1",17,19,4,"""--- \nLonLat: \n- - -76.14754\n  - 43.04274\n- - -76.14485\n  - 43.04275\n- - -76.140616025998\n  - 43.0426808904408\n"""
"Route 340 Outbound Weekday Note 1_3",3,"Route 340 Outbound Weekday Note 1",19,1,6,"""--- \nLonLat: \n- - -76.140616025998\n  - 43.0426808904408\n- - -76.14055\n  - 43.04268\n- - -76.14055\n  - 43.04268\n- - -76.1405\n  - 43.04428\n- - -76.1405\n  - 43.04428\n- - -76.13782\n  - 43.04422\n- - -76.13782\n  - 43.04422\n- - -76.13787\n  - 43.04054\n- - -76.13787\n  - 43.04054\n- - -76.1367\n  - 43.04052\n- - -76.1367\n  - 43.04052\n- - -76.13658\n  - 43.04022\n- - -76.13665\n  - 43.03976\n- - -76.13659\n  - 43.03941\n- - -76.13659\n  - 43.03941\n- - -76.1316\n  - 43.03936\n- - -76.1316\n  - 43.03936\n- - -76.13145\n  - 43.03724\n"""
"Route 340 Outbound Weekday Note 1_4",4,"Route 340 Outbound Weekday Note 1",1,13,5,"""--- \nLonLat: \n- - -76.13145\n  - 43.03724\n- - -76.13141\n  - 43.03675\n- - -76.13134\n  - 43.03632\n- - -76.13129\n  - 43.03626\n- - -76.13129\n  - 43.03626\n- - -76.13122\n  - 43.03621\n- - -76.13107\n  - 43.0362\n- - -76.12317\n  - 43.0366\n- - -76.12317\n  - 43.0366\n- - -76.12275\n  - 43.03213\n- - -76.12275\n  - 43.03213\n- - -76.12135\n  - 43.0322\n- - -76.12135\n  - 43.0322\n- - -76.12116\n  - 43.03028\n- - -76.12091\n  - 43.02893\n- - -76.12082\n  - 43.02784\n- - -76.12082\n  - 43.02784\n- - -76.12208\n  - 43.02778\n- - -76.12208\n  - 43.02778\n- - -76.12182\n  - 43.02478\n"""
"Route 340 Outbound Weekday Note 1_5",5,"Route 340 Outbound Weekday Note 1",13,12,11,"""--- \nLonLat: \n- - -76.12182\n  - 43.02478\n- - -76.12181\n  - 43.02464\n- - -76.12055\n  - 43.02471\n- - -76.12055\n  - 43.02471\n- - -76.12056\n  - 43.02485\n- - -76.12056\n  - 43.02485\n- - -76.12046\n  - 43.02513\n- - -76.12018\n  - 43.02544\n- - -76.12003\n  - 43.02554\n- - -76.11805\n  - 43.02638\n- - -76.11805\n  - 43.02638\n- - -76.11838\n  - 43.03042\n- - -76.11838\n  - 43.03042\n- - -76.11575\n  - 43.03054\n- - -76.11575\n  - 43.03054\n- - -76.11568\n  - 43.03071\n- - -76.11542\n  - 43.03097\n- - -76.11511\n  - 43.03113\n- - -76.11473\n  - 43.03125\n- - -76.11473\n  - 43.03125\n- - -76.11498\n  - 43.03479\n- - -76.11498\n  - 43.03479\n- - -76.11135\n  - 43.03492\n- - -76.11135\n  - 43.03492\n- - -76.1113\n  - 43.03337\n- - -76.11139\n  - 43.03309\n- - -76.11175\n  - 43.03258\n- - -76.11175\n  - 43.03258\n- - -76.11176\n  - 43.03195\n- - -76.11158\n  - 43.02934\n- - -76.11102\n  - 43.02312\n- - -76.11102\n  - 43.02312\n- - -76.11043\n  - 43.0226\n- - -76.10836\n  - 43.02111\n- - -76.10784\n  - 43.02092\n- - -76.10611\n  - 43.02084\n"""
"Route 340 Outbound Weekday Note 2_1",1,"Route 340 Outbound Weekday Note 2",1,13,5,"""--- \nLonLat: \n- - -76.13145\n  - 43.03724\n- - -76.13141\n  - 43.03675\n- - -76.13134\n  - 43.03632\n- - -76.13129\n  - 43.03626\n- - -76.13129\n  - 43.03626\n- - -76.13122\n  - 43.03621\n- - -76.13107\n  - 43.0362\n- - -76.12317\n  - 43.0366\n- - -76.12317\n  - 43.0366\n- - -76.12256\n  - 43.03021\n- - -76.12256\n  - 43.03021\n- - -76.12228\n  - 43.03022\n- - -76.12228\n  - 43.03022\n- - -76.12182\n  - 43.02478\n- - -76.13991\n  - 43.04943\n"""
"Route 340 Outbound Weekday Note 2_2",2,"Route 340 Outbound Weekday Note 2",13,12,14,"""--- \nLonLat: \n- - -76.12182\n  - 43.02478\n- - -76.12181\n  - 43.02464\n- - -76.12055\n  - 43.02471\n- - -76.12055\n  - 43.02471\n- - -76.12056\n  - 43.02485\n- - -76.12056\n  - 43.02485\n- - -76.12046\n  - 43.02513\n- - -76.12018\n  - 43.02544\n- - -76.12003\n  - 43.02554\n- - -76.11805\n  - 43.02638\n- - -76.11805\n  - 43.02638\n- - -76.11838\n  - 43.03042\n- - -76.11838\n  - 43.03042\n- - -76.11575\n  - 43.03054\n- - -76.11575\n  - 43.03054\n- - -76.11568\n  - 43.03071\n- - -76.11542\n  - 43.03097\n- - -76.11511\n  - 43.03113\n- - -76.11473\n  - 43.03125\n- - -76.11473\n  - 43.03125\n- - -76.11498\n  - 43.03479\n- - -76.11498\n  - 43.03479\n- - -76.11135\n  - 43.03492\n- - -76.11135\n  - 43.03492\n- - -76.1113\n  - 43.03337\n- - -76.11139\n  - 43.03309\n- - -76.11175\n  - 43.03258\n- - -76.11175\n  - 43.03258\n- - -76.11176\n  - 43.03195\n- - -76.11158\n  - 43.02934\n- - -76.11102\n  - 43.02312\n- - -76.11102\n  - 43.02312\n- - -76.11043\n  - 43.0226\n- - -76.10836\n  - 43.02111\n- - -76.10784\n  - 43.02092\n- - -76.10611\n  - 43.02084\n"""
"Route 340 Outbound Weekday_A_1",1,"Route 340 Outbound Weekday_A",18,17,2,"""--- \nLonLat: \n- - -76.15223\n  - 43.04868\n- - -76.14742\n  - 43.04862\n- - -76.14742\n  - 43.04862\n- - -76.14754\n  - 43.04274\n"""
"Route 340 Outbound Weekday_A_2",2,"Route 340 Outbound Weekday_A",17,19,3,"""--- \nLonLat: \n- - -76.14754\n  - 43.04274\n- - -76.14485\n  - 43.04275\n- - -76.140616025998\n  - 43.0426808904408\n"""
"Route 340 Outbound Weekday_A_3",3,"Route 340 Outbound Weekday_A",19,1,5,"""--- \nLonLat: \n- - -76.140616025998\n  - 43.0426808904408\n- - -76.14055\n  - 43.04268\n- - -76.14055\n  - 43.04268\n- - -76.1405\n  - 43.04428\n- - -76.1405\n  - 43.04428\n- - -76.13782\n  - 43.04422\n- - -76.13782\n  - 43.04422\n- - -76.13787\n  - 43.04054\n- - -76.13787\n  - 43.04054\n- - -76.1367\n  - 43.04052\n- - -76.1367\n  - 43.04052\n- - -76.13658\n  - 43.04022\n- - -76.13665\n  - 43.03976\n- - -76.13659\n  - 43.03941\n- - -76.13659\n  - 43.03941\n- - -76.1316\n  - 43.03936\n- - -76.1316\n  - 43.03936\n- - -76.13145\n  - 43.03724\n"""
"Route 340 Outbound Weekday_A_4",4,"Route 340 Outbound Weekday_A",1,13,5,"""--- \nLonLat: \n- - -76.13145\n  - 43.03724\n- - -76.13141\n  - 43.03675\n- - -76.13134\n  - 43.03632\n- - -76.13129\n  - 43.03626\n- - -76.13129\n  - 43.03626\n- - -76.13122\n  - 43.03621\n- - -76.13107\n  - 43.0362\n- - -76.12317\n  - 43.0366\n- - -76.12317\n  - 43.0366\n- - -76.12256\n  - 43.03021\n- - -76.12256\n  - 43.03021\n- - -76.12228\n  - 43.03022\n- - -76.12228\n  - 43.03022\n- - -76.12182\n  - 43.02478\n- - -76.13991\n  - 43.04943\n"""
"Route 340 Outbound Weekday_A_5",5,"Route 340 Outbound Weekday_A",13,12,10,"""--- \nLonLat: \n- - -76.12182\n  - 43.02478\n- - -76.12181\n  - 43.02464\n- - -76.12055\n  - 43.02471\n- - -76.12055\n  - 43.02471\n- - -76.12056\n  - 43.02485\n- - -76.12056\n  - 43.02485\n- - -76.12046\n  - 43.02513\n- - -76.12018\n  - 43.02544\n- - -76.12003\n  - 43.02554\n- - -76.11805\n  - 43.02638\n- - -76.11805\n  - 43.02638\n- - -76.11838\n  - 43.03042\n- - -76.11838\n  - 43.03042\n- - -76.11575\n  - 43.03054\n- - -76.11575\n  - 43.03054\n- - -76.11568\n  - 43.03071\n- - -76.11542\n  - 43.03097\n- - -76.11511\n  - 43.03113\n- - -76.11473\n  - 43.03125\n- - -76.11473\n  - 43.03125\n- - -76.11498\n  - 43.03479\n- - -76.11498\n  - 43.03479\n- - -76.11135\n  - 43.03492\n- - -76.11135\n  - 43.03492\n- - -76.1113\n  - 43.03337\n- - -76.11139\n  - 43.03309\n- - -76.11175\n  - 43.03258\n- - -76.11175\n  - 43.03258\n- - -76.11176\n  - 43.03195\n- - -76.11158\n  - 43.02934\n- - -76.11102\n  - 43.02312\n- - -76.11102\n  - 43.02312\n- - -76.11043\n  - 43.0226\n- - -76.10836\n  - 43.02111\n- - -76.10784\n  - 43.02092\n- - -76.10611\n  - 43.02084\n"""
"Route 340 Outbound Weekday_B_1",1,"Route 340 Outbound Weekday_B",18,17,3,"""--- \nLonLat: \n- - -76.15223\n  - 43.04868\n- - -76.14742\n  - 43.04862\n- - -76.14742\n  - 43.04862\n- - -76.14754\n  - 43.04274\n"""
"Route 340 Outbound Weekday_B_2",2,"Route 340 Outbound Weekday_B",17,19,4,"""--- \nLonLat: \n- - -76.14754\n  - 43.04274\n- - -76.14485\n  - 43.04275\n- - -76.140616025998\n  - 43.0426808904408\n"""
"Route 340 Outbound Weekday_B_3",3,"Route 340 Outbound Weekday_B",19,1,6,"""--- \nLonLat: \n- - -76.140616025998\n  - 43.0426808904408\n- - -76.14055\n  - 43.04268\n- - -76.14055\n  - 43.04268\n- - -76.1405\n  - 43.04428\n- - -76.1405\n  - 43.04428\n- - -76.13782\n  - 43.04422\n- - -76.13782\n  - 43.04422\n- - -76.13787\n  - 43.04054\n- - -76.13787\n  - 43.04054\n- - -76.1367\n  - 43.04052\n- - -76.1367\n  - 43.04052\n- - -76.13658\n  - 43.04022\n- - -76.13665\n  - 43.03976\n- - -76.13659\n  - 43.03941\n- - -76.13659\n  - 43.03941\n- - -76.1316\n  - 43.03936\n- - -76.1316\n  - 43.03936\n- - -76.13145\n  - 43.03724\n"""
"Route 340 Outbound Weekday_B_4",4,"Route 340 Outbound Weekday_B",1,13,5,"""--- \nLonLat: \n- - -76.13145\n  - 43.03724\n- - -76.13141\n  - 43.03675\n- - -76.13134\n  - 43.03632\n- - -76.13129\n  - 43.03626\n- - -76.13129\n  - 43.03626\n- - -76.13122\n  - 43.03621\n- - -76.13107\n  - 43.0362\n- - -76.12317\n  - 43.0366\n- - -76.12317\n  - 43.0366\n- - -76.12256\n  - 43.03021\n- - -76.12256\n  - 43.03021\n- - -76.12228\n  - 43.03022\n- - -76.12228\n  - 43.03022\n- - -76.12182\n  - 43.02478\n- - -76.13991\n  - 43.04943\n"""
"Route 340 Outbound Weekday_B_5",5,"Route 340 Outbound Weekday_B",13,12,10,"""--- \nLonLat: \n- - -76.12182\n  - 43.02478\n- - -76.12181\n  - 43.02464\n- - -76.12055\n  - 43.02471\n- - -76.12055\n  - 43.02471\n- - -76.12056\n  - 43.02485\n- - -76.12056\n  - 43.02485\n- - -76.12046\n  - 43.02513\n- - -76.12018\n  - 43.02544\n- - -76.12003\n  - 43.02554\n- - -76.11805\n  - 43.02638\n- - -76.11805\n  - 43.02638\n- - -76.11838\n  - 43.03042\n- - -76.11838\n  - 43.03042\n- - -76.11575\n  - 43.03054\n- - -76.11575\n  - 43.03054\n- - -76.11568\n  - 43.03071\n- - -76.11542\n  - 43.03097\n- - -76.11511\n  - 43.03113\n- - -76.11473\n  - 43.03125\n- - -76.11473\n  - 43.03125\n- - -76.11498\n  - 43.03479\n- - -76.11498\n  - 43.03479\n- - -76.11135\n  - 43.03492\n- - -76.11135\n  - 43.03492\n- - -76.1113\n  - 43.03337\n- - -76.11139\n  - 43.03309\n- - -76.11175\n  - 43.03258\n- - -76.11175\n  - 43.03258\n- - -76.11176\n  - 43.03195\n- - -76.11158\n  - 43.02934\n- - -76.11102\n  - 43.02312\n- - -76.11102\n  - 43.02312\n- - -76.11043\n  - 43.0226\n- - -76.10836\n  - 43.02111\n- - -76.10784\n  - 43.02092\n- - -76.10611\n  - 43.02084\n"""
"Route 340 Outbound Weekday_C_1",1,"Route 340 Outbound Weekday_C",18,17,3,"""--- \nLonLat: \n- - -76.15223\n  - 43.04868\n- - -76.14742\n  - 43.04862\n- - -76.14742\n  - 43.04862\n- - -76.14754\n  - 43.04274\n"""
"Route 340 Outbound Weekday_C_2",2,"Route 340 Outbound Weekday_C",17,19,4,"""--- \nLonLat: \n- - -76.14754\n  - 43.04274\n- - -76.14485\n  - 43.04275\n- - -76.140616025998\n  - 43.0426808904408\n"""
"Route 340 Outbound Weekday_C_3",3,"Route 340 Outbound Weekday_C",19,1,6,"""--- \nLonLat: \n- - -76.140616025998\n  - 43.0426808904408\n- - -76.14055\n  - 43.04268\n- - -76.14055\n  - 43.04268\n- - -76.1405\n  - 43.04428\n- - -76.1405\n  - 43.04428\n- - -76.13782\n  - 43.04422\n- - -76.13782\n  - 43.04422\n- - -76.13787\n  - 43.04054\n- - -76.13787\n  - 43.04054\n- - -76.1367\n  - 43.04052\n- - -76.1367\n  - 43.04052\n- - -76.13658\n  - 43.04022\n- - -76.13665\n  - 43.03976\n- - -76.13659\n  - 43.03941\n- - -76.13659\n  - 43.03941\n- - -76.1316\n  - 43.03936\n- - -76.1316\n  - 43.03936\n- - -76.13145\n  - 43.03724\n"""
"Route 340 Outbound Weekday_C_4",4,"Route 340 Outbound Weekday_C",1,13,5,"""--- \nLonLat: \n- - -76.13145\n  - 43.03724\n- - -76.13141\n  - 43.03675\n- - -76.13134\n  - 43.03632\n- - -76.13129\n  - 43.03626\n- - -76.13129\n  - 43.03626\n- - -76.13122\n  - 43.03621\n- - -76.13107\n  - 43.0362\n- - -76.12317\n  - 43.0366\n- - -76.12317\n  - 43.0366\n- - -76.12256\n  - 43.03021\n- - -76.12256\n  - 43.03021\n- - -76.12228\n  - 43.03022\n- - -76.12228\n  - 43.03022\n- - -76.12182\n  - 43.02478\n- - -76.13991\n  - 43.04943\n"""
"Route 340 Outbound Weekday_C_5",5,"Route 340 Outbound Weekday_C",13,12,11,"""--- \nLonLat: \n- - -76.12182\n  - 43.02478\n- - -76.12181\n  - 43.02464\n- - -76.12055\n  - 43.02471\n- - -76.12055\n  - 43.02471\n- - -76.12056\n  - 43.02485\n- - -76.12056\n  - 43.02485\n- - -76.12046\n  - 43.02513\n- - -76.12018\n  - 43.02544\n- - -76.12003\n  - 43.02554\n- - -76.11805\n  - 43.02638\n- - -76.11805\n  - 43.02638\n- - -76.11838\n  - 43.03042\n- - -76.11838\n  - 43.03042\n- - -76.11575\n  - 43.03054\n- - -76.11575\n  - 43.03054\n- - -76.11568\n  - 43.03071\n- - -76.11542\n  - 43.03097\n- - -76.11511\n  - 43.03113\n- - -76.11473\n  - 43.03125\n- - -76.11473\n  - 43.03125\n- - -76.11498\n  - 43.03479\n- - -76.11498\n  - 43.03479\n- - -76.11135\n  - 43.03492\n- - -76.11135\n  - 43.03492\n- - -76.1113\n  - 43.03337\n- - -76.11139\n  - 43.03309\n- - -76.11175\n  - 43.03258\n- - -76.11175\n  - 43.03258\n- - -76.11176\n  - 43.03195\n- - -76.11158\n  - 43.02934\n- - -76.11102\n  - 43.02312\n- - -76.11102\n  - 43.02312\n- - -76.11043\n  - 43.0226\n- - -76.10836\n  - 43.02111\n- - -76.10784\n  - 43.02092\n- - -76.10611\n  - 43.02084\n"""
"Route 340 Outbound Weekend_1",1,"Route 340 Outbound Weekend",18,17,3,"""--- \nLonLat: \n- - -76.15223\n  - 43.04868\n- - -76.14742\n  - 43.04862\n- - -76.14742\n  - 43.04862\n- - -76.14754\n  - 43.04274\n"""
"Route 340 Outbound Weekend_2",2,"Route 340 Outbound Weekend",17,19,3,"""--- \nLonLat: \n- - -76.14754\n  - 43.04274\n- - -76.14485\n  - 43.04275\n- - -76.140616025998\n  - 43.0426808904408\n"""
"Route 340 Outbound Weekend_3",3,"Route 340 Outbound Weekend",19,1,5,"""--- \nLonLat: \n- - -76.140616025998\n  - 43.0426808904408\n- - -76.14055\n  - 43.04268\n- - -76.14055\n  - 43.04268\n- - -76.1405\n  - 43.04428\n- - -76.1405\n  - 43.04428\n- - -76.13782\n  - 43.04422\n- - -76.13782\n  - 43.04422\n- - -76.13787\n  - 43.04054\n- - -76.13787\n  - 43.04054\n- - -76.1367\n  - 43.04052\n- - -76.1367\n  - 43.04052\n- - -76.13658\n  - 43.04022\n- - -76.13665\n  - 43.03976\n- - -76.13659\n  - 43.03941\n- - -76.13659\n  - 43.03941\n- - -76.1316\n  - 43.03936\n- - -76.1316\n  - 43.03936\n- - -76.13145\n  - 43.03724\n"""
"Route 340 Outbound Weekend_4",4,"Route 340 Outbound Weekend",1,13,5,"""--- \nLonLat: \n- - -76.13145\n  - 43.03724\n- - -76.13141\n  - 43.03675\n- - -76.13134\n  - 43.03632\n- - -76.13129\n  - 43.03626\n- - -76.13129\n  - 43.03626\n- - -76.13122\n  - 43.03621\n- - -76.13107\n  - 43.0362\n- - -76.12317\n  - 43.0366\n- - -76.12317\n  - 43.0366\n- - -76.12256\n  - 43.03021\n- - -76.12256\n  - 43.03021\n- - -76.12228\n  - 43.03022\n- - -76.12228\n  - 43.03022\n- - -76.12182\n  - 43.02478\n- - -76.13991\n  - 43.04943\n"""
"Route 340 Outbound Weekend_5",5,"Route 340 Outbound Weekend",13,12,11,"""--- \nLonLat: \n- - -76.12182\n  - 43.02478\n- - -76.12181\n  - 43.02464\n- - -76.12055\n  - 43.02471\n- - -76.12055\n  - 43.02471\n- - -76.12056\n  - 43.02485\n- - -76.12056\n  - 43.02485\n- - -76.12046\n  - 43.02513\n- - -76.12018\n  - 43.02544\n- - -76.12003\n  - 43.02554\n- - -76.11805\n  - 43.02638\n- - -76.11805\n  - 43.02638\n- - -76.11838\n  - 43.03042\n- - -76.11838\n  - 43.03042\n- - -76.11575\n  - 43.03054\n- - -76.11575\n  - 43.03054\n- - -76.11568\n  - 43.03071\n- - -76.11542\n  - 43.03097\n- - -76.11511\n  - 43.03113\n- - -76.11473\n  - 43.03125\n- - -76.11473\n  - 43.03125\n- - -76.11498\n  - 43.03479\n- - -76.11498\n  - 43.03479\n- - -76.11135\n  - 43.03492\n- - -76.11135\n  - 43.03492\n- - -76.1113\n  - 43.03337\n- - -76.11139\n  - 43.03309\n- - -76.11175\n  - 43.03258\n- - -76.11175\n  - 43.03258\n- - -76.11176\n  - 43.03195\n- - -76.11158\n  - 43.02934\n- - -76.11102\n  - 43.02312\n- - -76.11102\n  - 43.02312\n- - -76.11043\n  - 43.0226\n- - -76.10836\n  - 43.02111\n- - -76.10784\n  - 43.02092\n- - -76.10611\n  - 43.02084\n"""
